Rank,Title,Genre,Number_of_season,Number_of_episodes,Type,Actors,Creators,Origin,Language,Certification,Rating
33,Fargo,"[' Crime', ' Drama', ' Thriller']",4,40 episodes,"TV Series (2014– )
","[' Allison Tolman\n', ' Billy Bob Thornton\n', ' Colin Hanks\n', ' Martin Freeman\n', ' Russell Harvard\n', ' Kirsten Dunst\n', ' Ewan McGregor\n', ' Patrick Wilson\n', ' Carrie Coon\n', ' Jesse Plemons\n', ' Mary Elizabeth Winstead\n', ' David Thewlis\n', ' Ted Danson\n', ' Bokeem Woodbine\n', ' Brad Mann\n', ' Francesco Acquaroli\n', ' Andrew Bird\n', ' Gaetano Bruno\n', ' Jessie Buckley\n', ' Emyri Crutchfield\n', ' Matthew Elam\n', ' Salvatore Esposito\n', ' Jeremie Harris\n', ' Corey Hendrix\n', ' Jack Huston\n', ' James Vincent Meredith\n', ' Timothy Olyphant\n', ' Chris Rock\n', ' Jason Schwartzman\n', ' Glynn Turman\n', ' Ben Whishaw\n', ' Anji White\n', ' Jean Smart\n', ' Bob Odenkirk\n', ' Keith Carradine\n', ' Cristin Milioti\n', ' Joey King\n', ' Zahn McClarnon\n', ' Angus Sampson\n', ' Michael Stuhlbarg\n', ' Andy Yu\n', ' Emily Haine\n', ' Jeffrey Donovan\n', ' Olivia Sandoval\n', ' Rachel Keller\n', ' Graham Verchere\n', ' Raven Stewart\n', ' Goran Bogdan\n', ' Joshua Close\n', ' Mark Forward\n', ' Gary Valentine\n', ' Michael Hogan\n', ' Wilma Pelly\n', ' Shea Whigham\n', ' Adam Goldberg\n', ' Glenn Howerton\n', ' Brad Garrett\n', ' Nick Offerman\n', ' Elizabeth Marvel\n', "" Keir O'Donnell\n"", ' Tom Musgrave\n', ' Barry Flatman\n', ' Rachel Blanchard\n', ' Susan Park\n', ' Oliver Platt\n', ' Zina Lee\n', ' Allan Dobrescu\n', ' Dan Beirne\n', ' Todd Mann\n', ' Nick Di Brizzi Jr.\n', ' Kate Walsh\n', ' Hamish Linklater\n', ' Linda Kash\n', ' Mary McDonnell\n', ' Julie Ann Emery\n', ' Keegan-Michael Key\n', ' Peter Breitmayer\n', ' Jordan Peele\n', ' Gordon S. Miller\n', ' Caitlynne Medrek\n', ' Spencer Drever\n', ' Chantal Perron\n', ' Amber Midthunder\n', ' Scott Hylands\n', ' Mike Bradecich\n', "" Ryan O'Nan\n"", ' Ivan Sherry\n', ' Adam Arkin\n', ' Atticus Mitchell\n', ' Liam Green\n', ' Niko Koupantsis\n', ' Steve Belford\n', ' Maggie Sullivun\n', ' Matt Cooke\n', ' Eric Keenleyside\n', ' Kate Corbett\n', ' Scoot McNairy\n', ' Ray Wise\n', ' Terry Kinney\n', ' Shawn Doyle\n', ' Stephen Root\n', ' Brian Markinson\n', ' Helena Mattsson\n', ' DJ Qualls\n', ' Kelly Holden Bashar\n', ' Kieran Culkin\n']",['Noah Hawley'],['USA'],Hebrew,Tous publics,8.9
34,Apocalypse: La 2ème guerre mondiale,"[' Documentary', ' History', ' War']",1,6 episodes,"TV Mini-Series (2009)
","[' Mathieu Kassovitz\n', ' Martin Sheen\n']",[],['France'],French,,9.0
35,Cowboy Bebop,"[' Animation', ' Action', ' Adventure', ' Drama', ' Sci-Fi', ' Thriller']",1,26 episodes,"TV Series (1998–1999)
","[' Kôichi Yamadera\n', ' Unshô Ishizuka\n', ' Steve Blum\n', ' Beau Billingslea\n', ' Kevin Seymour\n', ' Wendee Lee\n', ' Megumi Hayashibara\n', ' Isshin Chiba\n', ' Melissa Fahn\n', ' Aoi Tada\n']",['Hajime Yatate'],['Japan'],English,,8.9
36,Afrique sauvage,[' Documentary'],1,7 episodes,"TV Mini-Series (2013)
","[' David Attenborough\n', ' Simon Blakeney\n']",[],['UK'],English,,9.0
37,Dans leur regard,"[' Biography', ' Crime', ' Drama', ' History']",1,4 episodes,"TV Mini-Series (2019)
","[' Asante Blackk\n', ' Caleel Harris\n', ' Ethan Herisse\n', ' Marquis Rodriguez\n', ' Marsha Stephanie Blake\n', ' Kylie Bunbury\n', ' John Leguizamo\n', ' Niecy Nash\n', ' Suzzanne Douglas\n', ' Michael Kenneth Williams\n', ' Jharrel Jerome\n', ' Aunjanue Ellis\n', ' Felicity Huffman\n', ' Len Cariou\n', ' William Sadler\n', ' Adepero Oduye\n', ' Alexandra Templer\n', ' Denia Brache\n', ' Vera Farmiga\n', ' Omar J. Dorsey\n', ' Jovan Adepo\n', ' Chris Chalk\n', ' Justin Cunningham\n', ' Freddy Miyares\n', ' Famke Janssen\n', ' Chukwudi Iwuji\n', ' Storm Reid\n', ' Alex Breaux\n', ' Jayce Bartok\n', ' Frank Pando\n', ' Edward Carnevale\n', ' Tyler Dean Flores\n', ' Maliq Johnson\n', ' Isaiah Negrón\n', ' Elijah Richardson\n', ' Kate Easton\n', ' Todd Lawson\n', ' Caroline Hewitt\n', ' Chris Jackson\n', ' Joshua Jackson\n', ' Gary Perez\n', ' Aurora Perrineau\n', ' Dascha Polanco\n', ' Blair Underwood\n', ' Jimmy Gary Jr.\n', ' Vincent De Paul\n']",['Ava DuVernay'],['USA'],English,,8.9
38,Ramayan,"[' Family', ' Fantasy', ' War']",1,78 episodes,"TV Series (1987–1988)
","[' Arun Govil\n', ' Deepika Chikhalia\n', ' Sunil Lahri\n', ' Arvind Trivedi\n', ' Dara Singh\n', ' Sanjay Jog\n', ' Samir Rajda\n', ' Shyamsundar Kaalaani\n', ' Vijay Arora\n', ' Bal Dhuri\n', ' Jayshree Gadkar\n', ' Padma Khanna\n', ' Rajni Bala\n', ' Mukesh Rawal\n', ' Nalin Dave\n', ' Aparajita\n', ' Lalita Pawar\n', ' Renu Dhariwal\n', ' Mulraj Rajda\n', ' Urmila Bhatt\n', ' Sudhir Dalvi\n', ' Chandrashekhar\n', ' Vijay Kavish\n', ' Rajshekhar Upadhyay\n', ' Bashir Khan\n', ' Anjali Vyas\n', ' Sulakshana Khatri\n', ' Poonam Shetty\n', ' Girish Seth\n', ' Giriraj Shukla\n', ' Vibhuti Dave\n', ' Aslam Khan\n']",['Ramanand Sagar'],['India'],Hindi,,9.3
39,Last Week Tonight with John Oliver,"[' Comedy', ' News', ' Talk-Show']",7,196 episodes,"TV Series (2014– )
","[' John Oliver\n', ' David Kaye\n']",[],['USA'],English,10,8.9
40,TVF Pitchers,"[' Comedy', ' Drama']",1,5 episodes,"TV Mini-Series (2015)
","[' Naveen Kasturia\n', ' Arunabh Kumar\n', ' Jitendra Kumar\n', ' Abhay Mahajan\n', ' Akanksha Thakur\n', ' Maanvi Gagroo\n', ' Gopal Dutt\n']",['Arunabh Kumar'],['India'],English,,9.2
41,Hunter x Hunter,"[' Animation', ' Action', ' Adventure', ' Comedy', ' Fantasy']",1,148 episodes,"TV Series (2011–2014)
","[' Issei Futamata\n', ' Megumi Han\n', ' Cristina Valenzuela\n', ' Mariya Ise\n', ' Michael McConnohie\n', ' Erica Mendez\n']",['Yoshihiro Togashi'],['Japan'],Japanese,Tous publics,8.9
42,Only Fools and Horses....,[' Comedy'],9,64 episodes,"TV Series (1981–2003)
","[' David Jason\n', ' Nicholas Lyndhurst\n', ' Roger Lloyd Pack\n', ' Buster Merryfield\n', ' John Challis\n', ' Kenneth MacDonald\n']",['John Sullivan'],['UK'],English,,8.9
